observation time,reception time,vehicle identifier,latitude degrees,longitude degrees,elevation meters,heading
20130729135922,201307291819,,42.286389999999997,-83.270809999999997,159.059875,357.799988
20130729135923,201307291819,,42.286740000000002,-83.270769999999999,160.757614,5.30000019
20130729135924,201307291819,,42.286740000000002,-83.270769999999999,160.757614,5.30000019
20130729135925,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135926,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135927,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135928,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135929,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135930,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135931,201307291819,,42.287039999999998,-83.270820000000001,154.661621,352.600006
20130729135932,201307291819,,42.288249999999998,-83.270880000000005,157.660858,358.100006
20130729135933,201307291819,,42.288249999999998,-83.270880000000005,157.660858,358.100006
20130729135934,201307291819,,42.288600000000002,-83.270920000000004,155.560776,355.100006
20130729135935,201307291819,,42.288600000000002,-83.270920000000004,155.560776,355.100006
20130729135936,201307291819,,42.288989999999998,-83.270920000000004,156.359344,0.400000006
20130729135937,201307291819,,42.289230000000003,-83.270889999999994,153.860001,3.70000005
20130729135938,201307291819,,42.289400000000001,-83.270899999999997,153.561295,359.5
20130729135939,201307291819,,42.289580000000001,-83.270910000000001,154.161743,356.700012
20130729135940,201307291819,,42.289760000000001,-83.270930000000007,153.960571,356.399994
20130729135941,201307291819,,42.289929999999998,-83.270939999999996,153.460709,356
20130729135942,201307291819,,42.290100000000002,-83.270949999999999,153.360123,358.200012
20130729135943,201307291819,,42.29027,-83.270949999999999,154.859741,359.100006
20130729135944,201307291819,,42.29045,-83.270960000000002,155.060913,358.200012
20130729135945,201307291819,,42.29045,-83.270960000000002,155.060913,358.200012
20130729135946,201307291819,,42.290730000000003,-83.270970000000005,154.759155,358.200012
20130729135947,201307291819,,42.290979999999998,-83.270979999999994,154.759155,358.100006
20130729135948,201307291819,,42.290979999999998,-83.270979999999994,154.759155,358.100006
20130729135949,201307291819,,42.291249999999998,-83.270989999999998,154.859741,359.5
20130729135950,201307291819,,42.291530000000002,-83.270979999999994,156.060654,0.699999988
20130729135951,201307291819,,42.291690000000003,-83.270979999999994,156.459946,0.699999988
20130729135952,201307291819,,42.291690000000003,-83.270979999999994,156.459946,0.699999988
20130729135953,201307291819,,42.291690000000003,-83.270979999999994,156.459946,0.699999988
20130729135954,201307291819,,42.291690000000003,-83.270979999999994,156.459946,0.699999988
20130729135955,201307291819,,42.291690000000003,-83.270979999999994,156.459946,0.699999988
20130729135956,201307291819,,42.29251,-83.270960000000002,157.858963,1
20130729135957,201307291819,,42.292740000000002,-83.271029999999996,157.758392,346.799988
20130729135958,201307291819,,42.292879999999997,-83.271050000000002,156.359344,354
20130729135959,201307291819,,42.292879999999997,-83.271050000000002,156.359344,354
